Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2000,AK,25.0,Male,-113.27118312,25.57628952,277.06666666666666
2001,AK,15.1,Male,-113.27118312,25.57628952,174.9
2002,AK,26.7,Male,-113.27118312,25.57628952,210.48000000000005
2003,AK,30.0,Male,-113.27118312,25.57628952,233.17333333333335
2004,AK,29.6,Male,-113.27118312,25.57628952,242.54
2005,AK,31.9,Male,-113.27118312,25.57628952,215.9
2006,AK,26.4,Male,-113.27118312,25.57628952,224.0
2007,AK,26.3,Male,-113.27118312,25.57628952,259.88
2008,AK,38.0,Male,-113.27118312,25.57628952,231.01333333333332
2009,AK,40.4,Male,-113.27118312,25.57628952,214.43333333333334
2010,AK,48.9,Male,-113.27118312,25.57628952,197.73999999999998
2011,AK,41.1,Male,-113.27118312,25.57628952,208.66000000000003
2012,AK,47.5,Male,-113.27118312,25.57628952,209.66666666666666
2013,AK,44.4,Male,-113.27118312,25.57628952,214.5533333333333
2014,AK,68.3,Male,-113.27118312,25.57628952,202.05333333333334
2015,AK,58.2,Male,-113.27118312,25.57628952,209.51333333333335
2016,AK,61.9,Male,-113.27118312,25.57628952,185.9333333333333
2017,AK,55.9,Male,-113.27118312,25.57628952,158.54000000000002
2018,AK,64.9,Male,-113.27118312,25.57628952,217.90666666666667
2019,AK,65.9,Male,-113.27118312,25.57628952,178.48666666666668
2000,AL,20.2,Female,-86.64295911,32.53530561,184.77518796992476
2001,AL,22.1,Female,-86.64295911,32.53530561,189.88496240601492
2002,AL,24.1,Female,-86.64295911,32.53530561,201.1966165413535
2003,AL,23.5,Female,-86.64295911,32.53530561,200.25112781954894
2004,AL,23.4,Female,-86.64295911,32.53530561,203.7473684210527
2005,AL,26.4,Female,-86.64295911,32.53530561,216.77857142857147
2006,AL,26.5,Female,-86.64295911,32.53530561,206.09962406015026
2007,AL,23.8,Female,-86.64295911,32.53530561,200.90864661654138
2008,AL,24.0,Female,-86.64295911,32.53530561,201.99473684210525
2009,AL,25.6,Female,-86.64295911,32.53530561,199.64624060150385
2010,AL,25.1,Female,-86.64295911,32.53530561,198.52105263157884
2011,AL,28.1,Female,-86.64295911,32.53530561,190.99624060150362
2012,AL,28.1,Female,-86.64295911,32.53530561,186.5503759398496
2013,AL,29.3,Female,-86.64295911,32.53530561,189.76842105263165
2014,AL,32.0,Female,-86.64295911,32.53530561,178.04774436090239
2015,AL,31.6,Female,-86.64295911,32.53530561,170.71466165413543
2016,AL,28.8,Female,-86.64295911,32.53530561,172.859022556391
2017,AL,28.1,Female,-86.64295911,32.53530561,186.32631578947368
2018,AL,29.2,Female,-86.64295911,32.53530561,201.52218045112787
2019,AL,27.8,Female,-86.64295911,32.53530561,218.69398496240595
2000,AR,24.4,Female,-91.37521096,34.29077696,164.95176056338028
2001,AR,20.0,Female,-91.37521096,34.29077696,170.42394366197192
2002,AR,21.0,Female,-91.37521096,34.29077696,188.3292253521127
2003,AR,18.3,Female,-91.37521096,34.29077696,214.1841549295776
2004,AR,19.6,Female,-91.37521096,34.29077696,217.8475352112675
2005,AR,23.4,Female,-91.37521096,34.29077696,238.00845070422523
2006,AR,24.1,Female,-91.37521096,34.29077696,233.55528169014087
2007,AR,23.0,Female,-91.37521096,34.29077696,237.11091549295776
2008,AR,27.1,Female,-91.37521096,34.29077696,252.22183098591535
2009,AR,26.6,Female,-91.37521096,34.29077696,245.29507042253516
2010,AR,27.1,Female,-91.37521096,34.29077696,233.98415492957756
2011,AR,30.0,Female,-91.37521096,34.29077696,233.30598591549304
2012,AR,28.7,Female,-91.37521096,34.29077696,237.5595070422535
2013,AR,28.4,Female,-91.37521096,34.29077696,236.80985915492963
2014,AR,29.9,Female,-91.37521096,34.29077696,245.07992957746478
2015,AR,35.4,Female,-91.37521096,34.29077696,273.7137323943659
2016,AR,34.9,Female,-91.37521096,34.29077696,284.86514084507064
2017,AR,36.6,Female,-91.37521096,34.29077696,315.6327464788734
2018,AR,39.8,Female,-91.37521096,34.29077696,347.0510563380284
2019,AR,43.7,Female,-91.37521096,34.29077696,360.60950704225326
2000,AZ,13.9,Female,-109.48881499,35.39549174,122.97017543859651
2001,AZ,13.0,Female,-109.48881499,35.39549174,129.10701754385968
2002,AZ,16.5,Female,-109.48881499,35.39549174,146.40877192982455
2003,AZ,15.0,Female,-109.48881499,35.39549174,147.27368421052634
2004,AZ,18.8,Female,-109.48881499,35.39549174,153.40877192982455
2005,AZ,21.3,Female,-109.48881499,35.39549174,151.82631578947365
2006,AZ,16.4,Female,-109.48881499,35.39549174,148.5561403508772
2007,AZ,17.3,Female,-109.48881499,35.39549174,151.4859649122807
2008,AZ,20.0,Female,-109.48881499,35.39549174,161.19473684210524
2009,AZ,17.4,Female,-109.48881499,35.39549174,159.09298245614033
2010,AZ,17.4,Female,-109.48881499,35.39549174,182.52982456140356
2011,AZ,17.5,Female,-109.48881499,35.39549174,199.18771929824555
2012,AZ,18.7,Female,-109.48881499,35.39549174,200.6842105263158
2013,AZ,22.3,Female,-109.48881499,35.39549174,211.14736842105265
2014,AZ,23.6,Female,-109.48881499,35.39549174,218.26315789473688
2015,AZ,28.7,Female,-109.48881499,35.39549174,228.5719298245614
2016,AZ,23.4,Female,-109.48881499,35.39549174,226.1280701754385
2017,AZ,25.8,Female,-109.48881499,35.39549174,240.64561403508762
2018,AZ,21.4,Female,-109.48881499,35.39549174,236.1263157894737
2019,AZ,28.7,Female,-109.48881499,35.39549174,229.41929824561402
2000,CA,33.4,Female,-121.8888742,37.64651553,267.49234234234234
2001,CA,30.7,Female,-121.8888742,37.64651553,273.9977477477476
2002,CA,30.6,Female,-121.8888742,37.64651553,279.9054054054054
2003,CA,32.7,Female,-121.8888742,37.64651553,296.8423423423422
2004,CA,30.8,Female,-121.8888742,37.64651553,286.9954954954956
2005,CA,31.5,Female,-121.8888742,37.64651553,283.9283783783783
2006,CA,33.0,Female,-121.8888742,37.64651553,293.30540540540534
2007,CA,31.5,Female,-121.8888742,37.64651553,277.8531531531532
2008,CA,30.1,Female,-121.8888742,37.64651553,276.19954954954943
2009,CA,25.6,Female,-121.8888742,37.64651553,268.1135135135135
2010,CA,24.2,Female,-121.8888742,37.64651553,272.3445945945946
2011,CA,24.5,Female,-121.8888742,37.64651553,271.41936936936935
2012,CA,24.0,Female,-121.8888742,37.64651553,269.06621621621616
2013,CA,21.5,Female,-121.8888742,37.64651553,272.9004504504505
2014,CA,19.6,Female,-121.8888742,37.64651553,256.6490990990991
2015,CA,18.4,Female,-121.8888742,37.64651553,275.21126126126114
2016,CA,19.1,Female,-121.8888742,37.64651553,275.82207207207205
2017,CA,19.1,Female,-121.8888742,37.64651553,280.13018018018016
2018,CA,18.2,Female,-121.8888742,37.64651553,272.8518018018019
2019,CA,19.2,Female,-121.8888742,37.64651553,274.532882882883
2000,CO,11.7,Female,-104.33724745,39.87350155,169.7742857142858
2001,CO,12.4,Female,-104.33724745,39.87350155,168.72971428571424
2002,CO,14.2,Female,-104.33724745,39.87350155,173.3834285714286
2003,CO,14.8,Female,-104.33724745,39.87350155,162.06742857142854
2004,CO,15.3,Female,-104.33724745,39.87350155,159.18971428571422
2005,CO,13.5,Female,-104.33724745,39.87350155,161.19142857142862
2006,CO,13.5,Female,-104.33724745,39.87350155,154.2457142857142
2007,CO,13.4,Female,-104.33724745,39.87350155,145.8308571428571
2008,CO,13.4,Female,-104.33724745,39.87350155,145.37542857142853
2009,CO,12.7,Female,-104.33724745,39.87350155,137.27200000000002
2010,CO,12.6,Female,-104.33724745,39.87350155,137.04685714285714
2011,CO,10.3,Female,-104.33724745,39.87350155,132.18285714285716
2012,CO,10.7,Female,-104.33724745,39.87350155,130.09999999999997
2013,CO,9.5,Female,-104.33724745,39.87350155,129.55142857142857
2014,CO,10.3,Female,-104.33724745,39.87350155,132.42628571428574
